seq,send_stack_us,recv_stack_us,network_latency_us
154,15.5599365234375,40.5069580078125,1360
155,11.8919677734375,55.304931640625,1282
156,17.6639404296875,40.467041015625,1230
157,12.0919189453125,55.7659912109375,1198
158,18.1839599609375,39.405029296875,1163
159,16.0899658203125,37.3299560546875,1133
160,11.633056640625,51.72802734375,1089
161,17.8740234375,36.949951171875,1086
162,15.177978515625,37.85205078125,1053
163,20.698974609375,39.235107421875,1031
164,17.302001953125,36.8289794921875,1011
165,36.3480224609375,36.958984375,1018
166,39.635009765625,43.0321044921875,983
167,18.7860107421875,51.277099609375,978
168,39.906005859375,60.2340087890625,953
169,12.7840576171875,59.6929931640625,949
170,11.882080078125,39.0540771484375,936
171,16.091064453125,65.7640380859375,929
172,12.56298828125,45.2960205078125,929
173,18.1549072265625,65.4239501953125,925
174,12.553955078125,45.35498046875,932
175,18.2840576171875,65.7239990234375,923
176,12.5439453125,45.2960205078125,901
177,18.125,84.3690185546875,895
178,12.553955078125,45.676025390625,886
179,15.9300537109375,59.8739013671875,881
180,12.072998046875,39.14404296875,868
181,16.1409912109375,62.4779052734375,867
182,11.7020263671875,36.75,863
183,15.157958984375,45.716064453125,851
184,18.615966796875,78.718994140625,845
185,15.9090576171875,53.5321044921875,846
186,15.8299560546875,51.5770263671875,839
187,15.93994140625,59.8740234375,842
188,12.89404296875,59.4930419921875,838
189,12.6949462890625,47.260009765625,842
190,18.72509765625,48.4320068359375,849
191,16.1500244140625,84.43896484375,841
192,15.8291015625,72.5469970703125,824
193,19.8179931640625,33.9639892578125,5999
194,15.8709716796875,132.9820556640625,5759
195,18.695068359375,37.31103515625,5300
196,15.1390380859375,60.655029296875,4873
197,17.2821044921875,56.3670654296875,4413
198,16.031005859375,47.0889892578125,3996
199,15.8299560546875,52.0489501953125,3609
200,15.949951171875,59.9639892578125,3258
201,12.08203125,39.6649169921875,2968
202,16.10107421875,57.3489990234375,2715
203,12.8760986328125,43.6429443359375,2483
204,34.6650390625,46.3380126953125,2284
205,18.1240234375,63.739990234375,2121
206,11.6419677734375,45.3560791015625,1975
207,16.322021484375,59.8829345703125,1852
208,12.85400390625,52.428955078125,1721
209,15.9310302734375,55.25390625,1627
210,18.093994140625,39.093994140625,1545
211,16.1500244140625,59.98291015625,1468
212,11.9219970703125,42.449951171875,1399
213,16.4520263671875,77.0460205078125,1322
214,12.833984375,60.093994140625,1357
215,13.0150146484375,47.9609375,1280
216,18.614990234375,66.926025390625,1224
217,12.6640625,45.885986328125,1174
218,18.4949951171875,62.9290771484375,1141
219,11.9219970703125,44.2640380859375,1099
220,25.027099609375,82.758056640625,1063
221,47.1390380859375,53.199951171875,1034
222,16.27001953125,99.968994140625,1008
223,17.4930419921875,45.0650634765625,992
224,18.764892578125,62.8590087890625,970
225,12.9439697265625,49.6629638671875,949
226,18.364013671875,75.6829833984375,941
227,15.0789794921875,54.7440185546875,930
228,17.2830810546875,72.156005859375,902
229,15.279052734375,99.3280029296875,896
230,22.5419921875,53.8809814453125,880
231,16.080078125,49.5040283203125,868
232,18.3948974609375,47.7100830078125,865
233,18.3040771484375,65.7340087890625,869
234,12.634033203125,45.6361083984375,869
235,18.4239501953125,65.85498046875,869
236,12.4730224609375,41.366943359375,860
237,15.8800048828125,58.1900634765625,848
238,12.4940185546875,45.486083984375,836
239,18.7650146484375,63.3089599609375,828
240,12.6739501953125,42.490966796875,837
241,15.4888916015625,50.43505859375,834
242,15.81005859375,84.9400634765625,830
243,22.7030029296875,85.051025390625,822
244,16.9219970703125,72.0760498046875,817
245,13.9959716796875,50.5360107421875,815
246,16.0,92.405029296875,805
247,18.7449951171875,50.43603515625,821
