seq,send_stack_us,recv_stack_us,network_latency_us
93,17.6630859375,91.633056640625,2982
94,15.9010009765625,69.9229736328125,2970
95,12.2030029296875,40.3359375,2939
96,12.173095703125,40.1270751953125,2905
97,12.614013671875,40.135986328125,2893
98,11.8419189453125,59.972900390625,2856
99,18.6549072265625,90.3809814453125,2864
100,25.10693359375,95.0189208984375,2971
101,43.3720703125,82.4669189453125,2998
102,18.64501953125,88.285888671875,2998
103,44.214111328125,77.3359375,2997
104,38.2630615234375,50.886962890625,3019
105,17.7239990234375,64.0709228515625,3012
106,13.426025390625,58.330078125,2990
107,19.075927734375,94.2779541015625,3026
108,47.3599853515625,50.885986328125,3074
109,19.24609375,48.132080078125,3079
110,19.867919921875,45.93701171875,3100
111,17.6129150390625,76.7249755859375,3072
112,15.679931640625,57.126953125,3195
113,15.6700439453125,44.93505859375,3151
114,12.072021484375,40.717041015625,3114
115,12.093017578125,61.5859375,3036
116,12.31298828125,41.8299560546875,3000
117,12.113037109375,57.3590087890625,2972
118,16.62109375,42.0980224609375,2947
119,12.4539794921875,80.9429931640625,2948
120,12.5540771484375,38.9830322265625,2919
121,66.47607421875,53.1500244140625,2930
122,17.08203125,62.97998046875,2978
123,15.68896484375,47.138916015625,2956
124,17.402099609375,41.3179931640625,2881
125,16.1708984375,169.740966796875,2858
126,33.302978515625,103.47607421875,2819
127,73.0780029296875,54.553955078125,2821
128,16.9609375,56.3060302734375,2828
129,15.4990234375,43.1820068359375,2796
130,16.010009765625,57.0780029296875,2780
131,19.95703125,45.9959716796875,2772
132,19.427978515625,45.43603515625,2907
133,26.9400634765625,132.5810546875,2956
134,24.967041015625,69.490966796875,3057
135,16.6610107421875,63.6710205078125,3061
136,17.6229248046875,59.0819091796875,3067
137,13.7349853515625,67.778076171875,3030
138,15.029052734375,140.52490234375,3041
139,19.31591796875,62.0670166015625,3040
140,23.654052734375,54.1329345703125,3119
141,17.9849853515625,71.7249755859375,3110
142,22.6138916015625,72.97802734375,3151
143,17.10205078125,52.989990234375,3149
144,18.3760986328125,77.5560302734375,3147
145,30.14697265625,41.9090576171875,3126
146,27.2010498046875,39.4539794921875,3135
147,19.1160888671875,65.31396484375,3126
148,15.8399658203125,40.8970947265625,3100
149,12.2530517578125,60.7149658203125,3082
150,13.0140380859375,45.0460205078125,3056
151,15.30908203125,30.22802734375,3029
152,12.2030029296875,61.6259765625,3033
153,12.14306640625,56.075927734375,3016
154,18.1640625,76.675048828125,3024
155,29.205078125,52.6700439453125,3098
156,16.7509765625,45.9669189453125,3111
157,14.9779052734375,39.424072265625,3090
158,16.0999755859375,38.592041015625,3065
159,15.5999755859375,47.158935546875,3060
160,17.1820068359375,38.762939453125,3053
161,17.43408203125,54.4329833984375,3048
162,16.0,50.39501953125,3055
163,15.8809814453125,52.37890625,3049
164,82.8070068359375,58.9510498046875,3122
165,19.1558837890625,130.947998046875,3135
166,40.2960205078125,61.737060546875,3128
167,21.0899658203125,58.4400634765625,3125
168,18.074951171875,65.2239990234375,3095
169,13.31494140625,62.76904296875,3027
170,19.166015625,48.1309814453125,3020
171,19.7469482421875,42.6199951171875,3007
172,17.012939453125,45.2259521484375,3007
173,18.2960205078125,55.9759521484375,2993
174,19.446044921875,49.6649169921875,3125
175,17.531982421875,78.9190673828125,3087
176,13.3660888671875,41.178955078125,3068
177,40.907958984375,55.946044921875,3036
178,19.8980712890625,64.27099609375,2955
179,12.1019287109375,29.968017578125,2981
180,18.083984375,39.885986328125,2955
181,19.22607421875,61.506103515625,2910
182,12.9139404296875,107.9749755859375,2857
183,17.85302734375,94.37890625,2840
184,41.43896484375,95.9620361328125,2800
185,23.1829833984375,58.81103515625,2807
186,15.0980224609375,42.6309814453125,2807
187,18.7659912109375,57.908935546875,2798
188,13.5169677734375,59.9739990234375,2763
189,15.9310302734375,35.757080078125,2756
190,41.2579345703125,50.885009765625,2753
191,17.5430908203125,78.7099609375,2788
192,15.780029296875,59.3729248046875,2803
193,15.7899169921875,101.863037109375,2762
194,17.4940185546875,58.52099609375,2737
195,16.7120361328125,40.18603515625,2753
196,11.83203125,98.446044921875,2765
197,12.9739990234375,36.75,2738
198,61.3670654296875,63.0689697265625,2755
199,20.8990478515625,178.758056640625,2778
200,26.1600341796875,111.4310302734375,2831
201,23.7840576171875,63.1300048828125,2862
202,41.3179931640625,53.3709716796875,2950
203,16.9320068359375,53.9420166015625,2972
204,19.677001953125,53.341064453125,2972
205,18.916015625,52.2890625,3002
206,49.35302734375,60.9649658203125,3036
207,16.301025390625,52.0179443359375,3023
208,16.7120361328125,52.279052734375,2990
209,16.4510498046875,43.159912109375,2983
210,15.919921875,60.02294921875,2974
211,23.6650390625,52.8590087890625,2996
212,33.822998046875,45.93603515625,3044
213,15.3690185546875,79.14892578125,3058
214,18.1939697265625,78.0579833984375,3045
215,18.1640625,92.615966796875,3053
216,22.85400390625,58.760986328125,3159
217,13.385986328125,66.5460205078125,3068
218,18.2750244140625,52.3590087890625,3027
219,16.031005859375,51.0670166015625,2957
220,16.220947265625,41.116943359375,2949
221,15.360107421875,40.3660888671875,2936
222,16.511962890625,70.613037109375,2933
223,18.4140625,49.7430419921875,2941
224,46.66796875,54.8529052734375,2917
225,23.8050537109375,49.072998046875,2883
226,17.52197265625,68.1290283203125,2867
227,19.5770263671875,40.3370361328125,2880
228,28.4940185546875,40.156005859375,2887
229,15.468994140625,42.9710693359375,2902
230,16.8409423828125,127.69189453125,2860
231,25.2470703125,133.9630126953125,2874
232,38.221923828125,102.10400390625,2934
233,23.4140625,44.322998046875,3067
234,27.843017578125,54.2130126953125,3082
235,16.660888671875,38.2520751953125,3063
236,16.341064453125,50.4959716796875,3027
237,16.2509765625,54.4429931640625,2970
238,18.2139892578125,50.7860107421875,2938
239,16.950927734375,67.818115234375,2919
240,18.1639404296875,64.37109375,2877
241,12.68408203125,58.199951171875,2846
242,21.22998046875,90.7410888671875,2849
243,29.2659912109375,78.2879638671875,2852
244,16.301025390625,56.075927734375,2842
245,15.3189697265625,41.7589111328125,2753
246,12.23291015625,61.43603515625,2686
247,12.93603515625,60.263916015625,2667
248,16.531982421875,59.7740478515625,2632
249,14.8189697265625,61.10498046875,2654
250,19.738037109375,66.4749755859375,2685
251,17.56201171875,45.9869384765625,2689
252,25.5780029296875,52.43896484375,2647
253,32.0699462890625,46.20703125,2706
254,44.7440185546875,62.8489990234375,2709
255,13.375,56.3170166015625,2725
256,15.449951171875,49.9749755859375,2764
257,51.8280029296875,80.60205078125,2769
258,15.7490234375,56.3060302734375,2765
259,16.260986328125,44.68505859375,2763
260,16.8819580078125,55.675048828125,2731
261,31.5399169921875,62.7890625,2738
262,12.27294921875,55.946044921875,2759
263,15.6300048828125,38.072021484375,2783
264,11.8319091796875,63.1290283203125,2790
265,12.572998046875,118.9849853515625,2794
266,27.6519775390625,53.81201171875,3442
267,20.570068359375,55.302978515625,3386
268,19.0150146484375,68.6300048828125,3277
269,20.2479248046875,45.89697265625,3220
270,18.7669677734375,65.032958984375,3168
271,12.7440185546875,281.93408203125,3125
272,20.3289794921875,61.8270263671875,3090
273,21.781982421875,121.178955078125,3091
274,20.989990234375,49.9549560546875,3030
